"ACTC1","HGNC:143","Little Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:143","2024-09-10T12:57:33-04:00"
"ACTL6B","HGNC:160","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:160","2022-11-23T17:22:31+00:00"
"ACVRL1","HGNC:175","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:175","2025-02-11T12:43:39-05:00"
"ADA2","HGNC:1839","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:1839","2025-10-24T11:24:06-04:00"
"ADAM9","HGNC:216","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:216","2026-03-27T11:21:39-04:00"
"ADAMTS2","HGNC:218","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:218","2016-08-22T17:45:44+00:00"
"ADAMTS13","HGNC:1366","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:1366","2016-08-22T17:45:42+00:00"
"ADAMTS17","HGNC:17109","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:17109","2016-08-22T17:45:43+00:00"
"ADAMTS18","HGNC:17110","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:17110","2016-08-22T17:45:43+00:00"
"ADAMTSL2","HGNC:14631","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:14631","2016-08-22T17:45:45+00:00"
"ADGRG1","HGNC:4512","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:4512","2025-10-24T11:31:17-04:00"
"ADGRV1","HGNC:17416","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:17416","2021-08-23T16:03:40+00:00"
